Color,Cantidad
"(237, 237, 237)",88524
"(245, 245, 245)",75067
"(250, 250, 250)",67957
"(225, 225, 225)",80743
"(221, 221, 221)",58742
"(216, 216, 216)",87660
"(232, 232, 232)",121189
"(204, 204, 204)",77204
"(255, 255, 255)",76300
"(241, 241, 241)",58282
"(228, 228, 228)",41490
"(212, 212, 212)",56913
"(208, 208, 208)",117994
"(199, 199, 199)",80114
"(194, 194, 194)",79729
"(190, 190, 190)",64810
"(186, 186, 186)",66834
"(177, 177, 177)",62482
"(182, 182, 182)",59603
"(174, 174, 174)",43929
"(166, 166, 166)",41764
"(170, 170, 170)",43368
"(161, 161, 161)",48539
"(153, 153, 153)",43625
"(157, 157, 157)",52834
"(148, 148, 148)",49189
"(135, 135, 135)",44871
"(144, 144, 144)",76184
"(139, 139, 139)",43102
"(131, 131, 131)",41948
"(128, 128, 128)",51448
"(123, 123, 123)",42870
"(106, 106, 106)",38990
"(102, 102, 102)",41203
"(115, 115, 115)",44626
"(97, 97, 97)",36426
"(93, 93, 93)",39557
"(111, 111, 111)",36886
"(77, 77, 77)",30478
"(64, 64, 64)",46657
"(60, 60, 60)",46505
"(55, 55, 55)",42913
"(73, 73, 73)",44850
"(119, 119, 119)",49512
"(89, 89, 89)",39113
"(80, 80, 80)",44305
"(68, 68, 68)",44025
"(51, 51, 51)",17647
"(84, 84, 84)",32923
"(255, 0, 222)",61992
"(255, 0, 46)",10468
"(255, 0, 31)",7614
"(255, 0, 63)",10936
"(255, 9, 0)",7182
"(255, 37, 0)",7283
"(255, 21, 0)",8664
"(255, 0, 158)",23751
"(255, 0, 190)",36106
"(255, 0, 239)",12296
"(255, 0, 207)",22800
"(255, 0, 175)",6927
"(255, 0, 94)",21580
"(255, 115, 0)",13281
"(255, 148, 0)",14472
"(255, 0, 78)",7456
"(255, 0, 126)",12949
"(255, 41, 0)",7377
"(255, 58, 0)",8774
"(255, 26, 0)",5191
"(255, 0, 0)",8068
"(255, 78, 0)",8006
"(255, 163, 0)",17608
"(255, 190, 0)",32090
"(255, 0, 143)",22460
"(255, 46, 0)",9652
"(255, 131, 0)",15798
"(255, 106, 0)",11159
"(255, 94, 0)",11037
"(255, 69, 0)",8518
"(255, 180, 0)",24288
"(255, 207, 0)",32856
"(255, 232, 0)",48047
"(255, 0, 14)",6267
"(240, 240, 240)",3495
"(230, 230, 230)",4343
"(180, 180, 180)",5712
"(154, 154, 154)",3840
"(165, 165, 165)",3630
"(219, 219, 219)",4042
"(209, 209, 209)",3983
"(101, 101, 101)",4737
"(145, 145, 145)",3739
"(151, 151, 151)",4092
"(140, 140, 140)",3644
"(130, 130, 130)",4133
"(120, 120, 120)",4526
"(91, 91, 91)",4135
"(125, 125, 125)",3735
"(86, 86, 86)",3421
"(70, 70, 70)",4610
"(75, 75, 75)",4260
"(65, 65, 65)",4612
"(65, 65, 79)",4736
"(87, 87, 129)",4690
"(129, 129, 230)",3124
"(130, 147, 239)",5588
"(96, 96, 96)",4168
"(160, 160, 160)",3251
"(112, 161, 207)",5989
"(139, 139, 255)",4120
"(60, 204, 111)",3870
"(255, 195, 0)",29189
"(119, 119, 204)",5810
"(77, 77, 105)",3607
"(97, 97, 154)",3741
"(255, 74, 0)",12618
"(255, 14, 0)",5639
"(158, 255, 0)",19015
"(107, 107, 180)",4514
"(255, 0, 111)",15314
"(255, 121, 0)",8604
"(255, 89, 0)",9931
"(42, 218, 78)",5248
"(105, 167, 190)",3998
"(96, 175, 175)",4866
"(255, 153, 0)",13917
"(0, 255, 0)",6587
"(102, 255, 0)",12213
"(255, 111, 0)",12071
"(94, 255, 0)",12048
"(175, 255, 0)",36729
"(222, 255, 0)",67508
"(26, 232, 46)",4931
"(134, 255, 0)",25565
"(255, 4, 0)",7165
"(78, 190, 143)",4462
"(51, 211, 94)",5317
"(38, 255, 0)",5913
"(121, 153, 222)",3038
"(14, 255, 0)",6729
"(35, 226, 63)",6830
"(55, 255, 0)",10976
"(255, 255, 0)",63720
"(87, 182, 158)",4684
"(119, 255, 0)",16428
"(111, 255, 0)",16276
"(17, 240, 31)",5724
"(199, 255, 0)",45830
"(255, 185, 0)",20758
"(214, 214, 214)",4448
"(255, 212, 0)",30211
"(8, 246, 14)",6272
"(70, 255, 0)",8064
"(231, 255, 0)",69522
"(190, 255, 0)",47065
"(182, 255, 0)",39091
"(255, 200, 0)",32358
"(255, 100, 0)",11000
"(214, 255, 0)",57287
"(255, 158, 0)",14564
"(255, 239, 0)",47123
"(63, 255, 0)",9469
"(255, 227, 0)",37065
"(255, 217, 0)",39983
"(207, 255, 0)",64600
"(255, 84, 0)",9555
"(255, 249, 0)",49886
"(255, 52, 0)",7601
"(46, 255, 0)",7472
"(255, 31, 0)",6960
"(246, 255, 0)",70406
"(255, 244, 0)",57234
"(255, 126, 0)",12795
"(78, 255, 0)",10307
"(239, 255, 0)",70795
"(255, 170, 0)",21601
"(255, 143, 0)",17261
"(255, 63, 0)",8080
"(175, 175, 175)",4735
"(235, 235, 235)",3804
"(255, 138, 0)",11179
"(185, 185, 185)",3083
"(69, 196, 126)",6929
"(23, 255, 0)",7001
"(31, 255, 0)",6957
"(7, 255, 0)",5467
"(87, 255, 0)",13931
"(126, 255, 0)",16399
"(143, 255, 0)",22911
"(151, 255, 0)",31835
"(255, 222, 0)",43709
"(166, 255, 0)",42187
"(255, 175, 0)",20767
