Color,Cantidad
"(237, 237, 237)",8522
"(225, 225, 225)",10921
"(51, 211, 94)",129530
"(231, 255, 0)",3820
"(239, 255, 0)",11918
"(255, 255, 0)",317
"(246, 255, 0)",4828
"(42, 218, 78)",132501
"(145, 145, 145)",226833
"(214, 255, 0)",4069
"(35, 226, 63)",156924
"(255, 58, 0)",4987
"(64, 64, 64)",38891
"(73, 73, 73)",44214
"(255, 52, 0)",14097
"(255, 78, 0)",18858
"(255, 249, 0)",4320
"(255, 239, 0)",3654
"(255, 84, 0)",8421
"(255, 63, 0)",6301
"(255, 41, 0)",8024
"(255, 46, 0)",15584
"(255, 244, 0)",3516
"(255, 37, 0)",10455
"(26, 232, 46)",152178
"(186, 186, 186)",160641
"(182, 182, 182)",99428
"(255, 26, 0)",13423
"(255, 4, 0)",12447
"(255, 222, 0)",3379
"(255, 232, 0)",4460
"(255, 227, 0)",4735
"(17, 240, 31)",95482
"(255, 217, 0)",14255
"(8, 246, 14)",93797
"(0, 255, 0)",122904
"(174, 174, 174)",92007
"(177, 177, 177)",149185
"(255, 212, 0)",5496
"(255, 0, 31)",16281
"(135, 135, 135)",25908
"(128, 128, 128)",20269
"(255, 0, 63)",10764
"(255, 0, 143)",22499
"(255, 21, 0)",13173
"(255, 207, 0)",2472
"(255, 0, 222)",12581
"(255, 0, 190)",2735
"(84, 84, 84)",28878
"(194, 194, 194)",139802
"(190, 190, 190)",149788
"(77, 77, 77)",38133
"(245, 245, 245)",19464
"(199, 199, 199)",163289
"(255, 69, 0)",13529
"(255, 74, 0)",6743
"(7, 255, 0)",63608
"(157, 157, 157)",30689
"(166, 166, 166)",82243
"(255, 9, 0)",11790
"(255, 14, 0)",18199
"(170, 170, 170)",85107
"(255, 0, 111)",11803
"(14, 255, 0)",50574
"(23, 255, 0)",37793
"(31, 255, 0)",30805
"(255, 0, 158)",7414
"(255, 0, 94)",10048
"(255, 0, 14)",10496
"(153, 153, 153)",38720
"(255, 163, 0)",6773
"(255, 148, 0)",11221
"(144, 144, 144)",35371
"(148, 148, 148)",43062
"(139, 139, 139)",25517
"(255, 94, 0)",17492
"(119, 119, 119)",17202
"(123, 123, 123)",18979
"(126, 255, 0)",7816
"(166, 255, 0)",9497
"(175, 255, 0)",3316
"(182, 255, 0)",2569
"(204, 204, 204)",127930
"(255, 106, 0)",5505
"(115, 115, 115)",18213
"(255, 200, 0)",7718
"(140, 140, 140)",3553
"(158, 255, 0)",4584
"(55, 55, 55)",55781
"(97, 97, 97)",22364
"(228, 228, 228)",14691
"(255, 0, 175)",10834
"(111, 111, 111)",15249
"(91, 91, 91)",568
"(255, 0, 207)",20143
"(255, 111, 0)",21965
"(255, 89, 0)",8365
"(175, 175, 175)",274
"(219, 219, 219)",2456
"(235, 235, 235)",2787
"(216, 216, 216)",73247
"(241, 241, 241)",18644
"(80, 80, 80)",60831
"(89, 89, 89)",17101
"(106, 106, 106)",19719
"(255, 0, 46)",11477
"(255, 190, 0)",6381
"(255, 195, 0)",1303
"(255, 185, 0)",1292
"(255, 175, 0)",984
"(255, 180, 0)",12579
"(255, 170, 0)",7618
"(255, 0, 0)",14559
"(208, 208, 208)",144965
"(255, 255, 255)",19991
"(232, 232, 232)",7823
"(131, 131, 131)",21252
"(161, 161, 161)",47678
"(87, 255, 0)",6415
"(78, 255, 0)",11627
"(255, 126, 0)",5471
"(255, 143, 0)",4105
"(38, 255, 0)",30035
"(46, 255, 0)",14234
"(255, 138, 0)",8125
"(93, 93, 93)",19927
"(102, 102, 102)",19653
"(255, 153, 0)",1031
"(255, 131, 0)",2210
"(55, 255, 0)",20386
"(255, 158, 0)",10874
"(63, 255, 0)",16151
"(212, 212, 212)",123904
"(180, 180, 180)",409
"(207, 255, 0)",5961
"(60, 60, 60)",49427
"(94, 255, 0)",8539
"(51, 51, 51)",35022
"(75, 75, 75)",317
"(190, 255, 0)",3593
"(199, 255, 0)",3140
"(151, 255, 0)",2856
"(125, 125, 125)",656
"(70, 70, 70)",1600
"(255, 31, 0)",9144
"(101, 101, 101)",795
"(255, 0, 78)",14440
"(102, 255, 0)",8226
"(119, 255, 0)",3558
"(255, 115, 0)",3774
"(139, 139, 255)",552
"(70, 255, 0)",6639
"(112, 161, 207)",1362
"(151, 151, 151)",1282
"(165, 165, 165)",2441
"(250, 250, 250)",9791
"(68, 68, 68)",31775
"(143, 255, 0)",2947
"(160, 160, 160)",658
"(105, 167, 190)",3026
"(255, 0, 239)",1951
"(97, 97, 154)",246
"(69, 196, 126)",120222
"(111, 255, 0)",3816
"(134, 255, 0)",2896
"(222, 255, 0)",648
"(60, 204, 111)",101763
"(96, 175, 175)",2790
"(129, 129, 230)",4643
"(255, 100, 0)",12718
"(120, 120, 120)",753
"(121, 153, 222)",325
"(221, 221, 221)",6627
"(240, 240, 240)",3034
"(130, 147, 239)",277
"(255, 0, 126)",2276
"(78, 190, 143)",110634
"(154, 154, 154)",1708
"(209, 209, 209)",922
"(230, 230, 230)",759
"(65, 65, 79)",3677
"(77, 77, 105)",665
"(255, 121, 0)",10240
"(107, 107, 180)",2543
"(119, 119, 204)",395
"(185, 185, 185)",2982
"(87, 87, 129)",2144
"(65, 65, 65)",2627
"(87, 182, 158)",26246
"(86, 86, 86)",235
"(130, 130, 130)",1241
"(214, 214, 214)",428
"(96, 96, 96)",181
